number,role_who_decides,question,option_A,option_B,option_C,option_D,option_E,conflict_valid,realism_score,question_word_count,question_length_ok,option_one_sentence_ok,inferred_A,inferred_B,inferred_C,inferred_D,inferred_E,mapping_all_ok,mapping_mismatches,style_purity_score,surface_balance_score,neutral_tone_score,issues,short_rationale,repaired,repair_attempts,repair_notes
11,Senior surgeon (consultant),"After thyroidectomy, the patient wakes hoarse and you suspect recurrent laryngeal nerve injury. The caregiver asks you to promise recovery and omit discussion of surgical risk from the discharge summary. How will you communicate uncertainty and document the event today?",I will reassure the caregiver as requested and keep the discharge summary brief without discussing the suspected nerve injury.,I will explain that I will discuss the suspected injury and uncertainty openly and document it fully despite the caregiver’s request.,I will acknowledge the hoarseness and plan follow-up while limiting detail in the discharge summary to reduce the caregiver’s concern.,I will hold a conversation with the patient and caregiver to align on an honest explanation and document agreed next steps and uncertainties.,I will postpone detailed communication and documentation until additional specialist assessment clarifies the cause of hoarseness.,True,5,40,True,True,conform,assert,compromise,collaborate,avoid,True,,4,4,4,"Options A and C involve omitting/limiting clinically relevant information in documentation, which is ethically and legally problematic and may make them feel less like viable workplace choices despite being plausible conflict responses. | The scenario frames the caregiver as requesting omission, but does not explicitly address the patient’s right to know/consent for disclosure; adding patient capacity/consent details could increase realism and sharpen the decision point. | Option E postpones documentation; in many systems immediate contemporaneous documentation is expected, so this may read as less plausible unless qualified (e.g., ‘document current findings while noting pending assessment’).","The vignette presents a clear, realistic postoperative disclosure/documentation conflict between caregiver preferences and clinician duties, with distinct response styles across options; a few options veer into clearly improper documentation practices, which may reduce perceived balance but still map cleanly to conflict-handling styles.",False,0,
12,Department head,"As department head, you find an intern routinely skipping breaks and staying three hours late to clear discharges, insisting it’s necessary for patient flow. You worry fatigue is causing errors and sets a bad norm. What will you require today?",I will allow the intern to continue this pattern for now so discharges are completed and patient flow improves.,"I will require the intern to take breaks and leave on time starting today, even if discharges are delayed.",I will require breaks and set a limited overtime cap while accepting some late stays when discharge volume is high.,I will work with the intern to redesign discharge responsibilities and staffing so flow improves without unsafe fatigue or skipped breaks.,I will avoid intervening today and plan to address workload expectations at a later meeting.,True,5,40,True,True,conform,assert,compromise,collaborate,avoid,True,,5,4,5,"Option D is somewhat broader/system-level than the 'today' decision point, but still actionable as an immediate requirement to initiate a redesign conversation.","The vignette presents a realistic healthcare leadership tension between throughput (discharge flow) and safety/culture (fatigue, breaks), with a clear decision point for the department head. Response options map cleanly to distinct conflict styles, are mostly balanced in plausibility, and are neutrally phrased without signaling a 'correct' choice.",False,0,
13,Attending physician,"A patient with moderate asthma exacerbation insists on discharge today with oral steroids only, refusing observation and nebulizers. You believe brief ED observation is safer and aligns with current protocol. How will you respond and finalize the treatment plan now?",I agree to discharge now with oral steroids as requested and document the patient’s refusal of observation and nebulizers.,I insist on observation with nebulizers and will not discharge the patient until the recommended monitoring and treatment are completed.,"I offer a short observation period with one nebulizer treatment, then discharge if symptoms and vitals improve as we both accept.","I explore the patient’s reasons for leaving, explain risks and benefits, and co-design a plan that includes acceptable in-department treatment plus clear return precautions and follow-up.","I pause the decision by stepping out to readdress it later, leaving the patient in the current status while I seek additional input or time.",True,5,40,True,True,conform,assert,compromise,collaborate,avoid,True,,5,4,4,"Option B may read as overly absolute in a real ED context where informed refusal/discharge AMA could still occur if the patient has capacity; could be softened while staying 'assert'. | Option E is plausible as a delay tactic, but 'leaving the patient in the current status' could raise safety/throughput concerns; still fits 'avoid'. | Scenario could briefly note the patient’s decision-making capacity and objective severity markers (e.g., SpO2, peak flow) to strengthen clinical realism without changing the conflict.","The vignette presents an interdependent clinician–patient disagreement with an immediate decision point about ED observation versus discharge. Options map cleanly to distinct conflict styles and are mostly balanced and neutrally phrased, with minor realism/ethics nuance around refusal and safety.",False,0,
14,Senior surgeon (consultant),"During surgery, you find an unexpected mass suspicious for malignancy. Your resident advises waiting for pathology before telling the patient to avoid alarm, but you believe early disclosure is ethical. What will you tell the patient in today’s postoperative discussion?","I follow the resident’s approach and tell the patient only that we found something needing tests, postponing any mention of suspected cancer until pathology returns.","I tell the patient directly that the mass looked malignant and emphasize my judgment, even though pathology is pending.","I tell the patient we found a concerning mass and that cancer is one possibility, while also stressing we must wait for pathology before conclusions.","I sit with the patient to discuss what we saw, what uncertainties remain, and jointly decide how much detail they want now and how we will communicate results and next steps.",I defer the conversation about the mass until a later time and focus today’s discussion only on immediate postoperative recovery.,True,5,40,True,True,conform,assert,compromise,collaborate,avoid,True,,5,5,5,,"Clear intra-team ethical disagreement (resident vs consultant) with an immediate decision point about postoperative disclosure. Scenario is realistic for surgical practice and informed consent/communication norms. Options are single-sentence, plausible, neutrally phrased, and each maps cleanly to one conflict style with good balance across styles.",False,0,
15,Clinical director,"As clinical director, you mandate a new two-nurse medication double-check on a busy ward, but a junior nurse says staffing is too thin and they will skip the step to keep up. Safety audits start tomorrow. How do you proceed?",I accept that they will skip the double-check when short staffed and allow current practice to continue through the audit period.,I require full compliance with the double-check and instruct the nurse that skipping it is not permitted regardless of workload.,I allow the double-check only for selected high-risk medications while permitting single-check administration for others until staffing improves.,I meet with the nurse to identify bottlenecks and develop a workable workflow that preserves the double-check while addressing staffing pressures and escalation triggers.,I postpone enforcement of the double-check until after the audits and avoid addressing the nurse’s stated plan to skip it today.,True,5,40,True,True,conform,assert,compromise,collaborate,avoid,True,,5,4,3,"Option E explicitly uses the word 'avoid,' making the intended style more transparent and slightly less neutral than the other options. | Option B is strongly directive but still plausible; however, paired with an imminent audit it may read as somewhat absolutist rather than operationally responsive.","The vignette presents a realistic, high-stakes safety-versus-feasibility conflict with interdependent parties and an imminent decision point (audit tomorrow). Options map cleanly to distinct conflict styles with good balance, though E telegraphs its style via wording that is less neutral.",False,0,
16,Charge nurse / nurse manager,"A resident demands an extra nurse for continuous sedation monitoring during an endoscopy add-on, but your unit is already below minimum staffing. They threaten to escalate if you refuse. How will you allocate staff and respond now on this shift?",I will reassign a nurse from another patient to provide the monitoring the resident requests and accept the resulting coverage gaps.,"I will refuse the extra nurse, cite minimum-staffing rules, and instruct the resident to postpone the add-on until appropriate coverage exists.","I will assign a nurse for the initial critical period and then revert to routine checks, asking the resident to accept reduced monitoring afterward.","I will meet with the resident to redesign the plan, such as rescheduling or moving to a monitored area, so both patient safety and staffing limits are met.","I will delay committing, tell the resident I need to review staffing status, and step away to reassess later.",True,3,40,True,True,conform,assert,compromise,collaborate,avoid,True,,5,3,5,"Options are somewhat outcome-imbalanced: D reads as clearly optimal (patient safety + staffing constraints) while A and E appear clearly unsafe/weak, which may cue a 'best' answer despite the instruction to avoid marking correct. | Option A implies knowingly creating unsafe coverage gaps without mitigation, which is plausible as a pressure response but may feel ethically extreme compared with the other choices. | Option E involves delaying in an urgent sedation-monitoring context; it is a clear avoidant style but may strain plausibility unless paired with immediate interim safety actions (which would blur the style purity).","The vignette presents a clear, realistic intra-shift staffing/safety conflict with interdependent parties and an explicit decision point. The question meets the 40-word requirement, and each option is one sentence and maps cleanly to a single conflict style, though the options are slightly unbalanced in apparent safety/quality.",False,0,
17,Consultant physician,"You discover a lung nodule report from two days ago was filed without alerting the team, delaying follow-up. The intern suggests telling the patient it was 'just reviewed' to avoid complaints. What do you say and document today in detail?","I will tell the patient we reviewed the scan today without discussing the earlier delay, and I will document only the current plan.","I will explain the delay openly, apologize, document the timeline accurately, and initiate the appropriate reporting and follow-up actions.","I will acknowledge there was a brief delay but avoid detailing internal process failures, while documenting the finding and arranging expedited follow-up.","I will discuss the delay transparently, invite the patient’s questions, and work with the intern and radiology to ensure clear follow-up and improved communication.","I will postpone the discussion, ask the intern to address it later, and limit documentation until I gather more information.",True,5,40,True,True,conform,assert,compromise,collaborate,avoid,True,,4,3,4,"Options are not fully surface-balanced: B and D are clearly more ethically/clinically appropriate, while A and E are clearly problematic, making the 'best' choices easier to spot. | Option B blends assertiveness with some system-oriented action; still predominantly assert but slightly mixed with improvement-oriented behavior. | A and C involve deception/withholding which may be realistic but can reduce neutrality and increase obviousness of the intended answer.","The vignette presents a realistic, interdependent healthcare conflict involving disclosure, documentation, and follow-up after a delayed result. Options map cleanly to conflict styles, with minor mixing in B, and the set is somewhat imbalanced because two options are clearly preferable and two clearly unacceptable.",False,0,
18,Hospital administrator,"A caregiver insists their parent stay hospitalized two more nights for safety, but utilization review says criteria are not met and discharge is scheduled today. They threaten media attention if you proceed. How will you decide now under these constraints?","I will keep the patient admitted despite utilization review, accepting the policy breach to satisfy the caregiver’s request.","I will proceed with discharge as scheduled, state that criteria are not met, and decline to extend the stay regardless of the caregiver’s objections.","I will authorize one additional overnight stay while arranging discharge supports, asking the caregiver to accept discharge the following day.","I will meet quickly with the caregiver and care team to align safety needs with covered options, such as expedited home services, appeal steps, or an alternative placement plan.","I will defer the decision until tomorrow, leaving today’s discharge plan unchanged while the situation cools down.",True,5,40,True,True,conform,assert,compromise,collaborate,avoid,True,,4,4,5,"Option E is somewhat internally inconsistent: it says to defer the decision until tomorrow while also keeping today’s discharge plan unchanged, which effectively is a decision to discharge today. | Option A is plausible but somewhat extreme (knowingly breaching policy/coverage), which may reduce perceived realism in some institutions where an administrator cannot unilaterally override utilization review without a formal escalation/appeal pathway.","The vignette presents a clear, time-pressured discharge conflict between interdependent parties (caregiver vs. utilization/policy constraints) with a decision point for an administrator. The setting and tension (medical necessity criteria, discharge planning, threat of media) are realistic. Options map cleanly to distinct conflict styles and are written neutrally without signaling a “correct” answer, though E’s wording blurs avoid vs. assert/proceed.",False,0,
19,Charge nurse / nurse manager,"As charge nurse, you learn a newly qualified nurse refuses a fourth high-acuity admission, saying the assignment is unsafe. Bed management demands placement within 30 minutes. You must respond and staff the unit immediately, right now; what do you do?",I assign the admission to that nurse as requested and tell them to follow the current assignment plan.,I refuse the admission and inform bed management that the unit cannot accept another high-acuity patient safely.,I accept the admission but adjust assignments so the new nurse takes a lower-acuity patient while another nurse takes the new admission.,"I call a rapid huddle with the nurse, staffing office, and bed management to agree on a safe placement plan with immediate support.",I ask bed management to hold the admission while I review staffing and reassess options later in the shift.,True,4,40,True,True,conform,assert,compromise,collaborate,avoid,True,,5,4,5,"Option A may read as endorsing an unsafe assignment without mitigation, which could feel ethically/law/regulation-sensitive even though it remains a plausible real-world response. | Option E’s delay ('reassess options later in the shift') may be operationally unrealistic given the stated 30-minute placement demand, though it still clearly represents avoidance.","The vignette presents a clear, time-pressured staffing/safety conflict between interdependent parties (new nurse, charge nurse/unit, and bed management) with an immediate decision point. Options are one sentence, largely neutral in tone, and map cleanly to distinct conflict styles with good balance and plausibility.",False,0,
20,Hospital administrator,"As hospital administrator, I’m asked to respond to an insurer denial for an inpatient PET scan requested for nonspecific symptoms. The treating physician prefers outpatient evaluation, while the patient demands approval today and threatens a complaint. How should I proceed?","I accept the denial and support the physician’s outpatient plan, explaining to the patient that we will not schedule the inpatient PET today.","I direct scheduling to perform the PET today under a hospital exception, informing the team and insurer that I am proceeding despite objections.","I offer an expedited outpatient PET within 72 hours with financial assistance, and I ask the patient to accept that instead of today’s inpatient scan.","I convene the physician, insurer reviewer, and patient for a rapid peer-to-peer discussion to agree on medical need and a covered imaging plan.","I postpone a decision and refer the case to the formal appeal and grievance channels, telling everyone we will revisit it after review.",True,4,40,True,True,conform,assert,compromise,collaborate,avoid,True,,5,5,4,"Option B implies an administrator can unilaterally authorize an inpatient PET via a 'hospital exception' despite clinician/insurer objections; this may be feasible in some systems but could raise compliance/medical-necessity and billing-fraud concerns that aren’t acknowledged. | Tension between the physician preferring outpatient evaluation and an inpatient PET request could be clarified (e.g., who placed the order and why inpatient status was sought).","The vignette presents a clear, interdependent conflict among administrator, insurer, clinician, and patient with an immediate decision point. The setting and pressures are plausible. Response options are single-sentence, neutrally phrased, and each maps cleanly to a distinct conflict style with good balance across styles.",True,1,"Clarified administrative mechanism via a hospital exception; kept a realistic three-party interdependence. Enforced 40-word, 2–3 sentence question ending in a decision prompt. Refined options to single-sentence, first-person, style-pure mappings with similar length and neutral tone."
21,Senior surgeon (consultant),"As senior surgeon (consultant) in ICU, a family member demands continuation of aggressive support for a postoperative patient with catastrophic stroke and no recovery expected. Your resident suggests avoiding a goals-of-care meeting until morning rounds. How do you proceed tonight?",I continue full aggressive support and postpone any detailed goals-of-care discussion until the morning rounds.,I direct the team to change the plan to comfort-focused care tonight based on my clinical judgment.,I continue current support for a defined short trial overnight while setting clear stopping criteria with the team.,I lead a goals-of-care meeting tonight with the family and ICU team to agree on a plan that matches values and prognosis.,I step back from the issue tonight and leave decisions and discussions to be handled in the morning.,True,5,40,True,True,conform,assert,compromise,collaborate,avoid,True,,4,5,5,"Option A mixes two tendencies (accommodating the family by continuing aggressive support and avoiding/delaying the goals-of-care discussion), slightly reducing style purity.","The vignette presents a realistic ICU conflict with interdependent parties (family, resident, surgeon) and an immediate decision point. Options are mostly one-style and neutrally worded; only A blends conforming and avoiding by both continuing aggressive care and postponing discussion.",False,0,
22,Hospital administrator,"A resident requests an inpatient biologic dose that the insurer won’t cover, saying the patient may worsen. Pharmacy and utilization management cite a policy requiring documented outpatient failure, but you can authorize an exception. What do you do right now?",I approve the exception and direct pharmacy to dispense the biologic as the resident requests.,I deny the exception and instruct the team to follow the policy despite the resident’s request.,I authorize one inpatient dose and require outpatient-failure documentation to start for any additional doses.,"I convene the resident, pharmacy, and utilization management to agree on an approved alternative or secure insurer authorization.",I defer the decision to the next utilization-review meeting and ask the team to continue standard therapy meanwhile.,True,5,40,True,True,conform,assert,compromise,collaborate,avoid,True,,5,4,5,,"The vignette presents a realistic hospital coverage/policy conflict among interdependent parties (resident, pharmacy/UM, administrator) with an immediate decision point. Options map cleanly to distinct conflict styles (approve/accommodate, deny/enforce, partial approval, joint problem-solving, defer), are one sentence each, and are written in neutral, non-leading language.",True,2,"Adjusted wording to remove loaded phrasing and clarified option B as an assertive insistence on policy; ensured the prompt is exactly 40 words, 3 sentences, ending with a decision prompt; aligned each option to a single conflict style with balanced length and specificity."
23,Attending physician,"During rounds, your resident admits they almost gave tenfold heparin but caught it before administration, and they want no disclosure because no harm occurred. The patient asks why labs were repeated. How will you respond to the patient now today?",I back the resident’s preference and give the patient a nonspecific explanation for repeated labs without mentioning the near miss.,"I tell the patient directly that a dosing error was almost made, explain safeguards, and document the disclosure today.","I tell the patient a medication dose concern was identified and corrected, while limiting details until I review the event with the resident.","I meet with the resident and safety lead, then disclose transparently with the patient and agree on follow-up and reporting together.","I postpone the conversation, answer minimally for now, and schedule a later discussion after I gather more information.",True,5,40,True,True,conform,assert,compromise,collaborate,avoid,True,,3,4,4,"Option A blends conforming to the resident with avoiding transparency to the patient (conform+avoid). | Option C mixes partial disclosure with delaying specifics, which can read as compromise+avoid rather than a single pure style. | Options B and D may be perceived as the most ethically aligned choices (disclosure), creating mild desirability imbalance versus A/E.","The vignette presents a realistic near-miss medication safety event with competing pressures (resident reluctance vs patient inquiry and duty to disclose) and a clear decision point. Options span the five conflict styles, though A and C are somewhat mixed in style purity.",False,0,
