userid,Record Type,Question ID,Question Selected,Question Time Spent
5,Classification,90,option_D,70.71
5,Classification,92,option_D,75.805
5,Classification,96,option_C,92.382
5,Classification,97,option_C,75.102
6,Classification,10,option_D,39.879
6,Classification,100,option_C,36.637
6,Classification,11,option_D,50.064
6,Classification,111,option_C,47.847
6,Classification,114,option_D,34.139
6,Classification,120,option_C,32.38
6,Classification,124,option_C,33.367
6,Classification,130,option_C,39.638
6,Classification,136,option_C,33.714
6,Classification,137,option_D,35.693
6,Classification,19,option_D,22.862
6,Classification,2,option_E,68.706
6,Classification,32,option_D,39.115
6,Classification,34,option_D,26.679
6,Classification,38,option_B,44.068
6,Classification,43,option_A,45.439
6,Classification,46,option_A,35.649
6,Classification,51,option_D,38.279
6,Classification,53,option_C,64.974
6,Classification,56,option_D,42.518
6,Classification,62,option_D,39.847
6,Classification,76,option_D,40.636
6,Classification,79,option_A,92.755
6,Classification,83,option_B,36.959
6,Classification,89,option_B,85.761
6,Classification,9,option_B,42.224
6,Classification,90,option_E,33.817
6,Classification,92,option_B,21.094
7,Classification,10,option_B,41.253
7,Classification,111,option_A,43.642
7,Classification,114,option_A,63.32
7,Classification,119,option_D,37.825
7,Classification,136,option_B,62.181
7,Classification,148,option_A,37.765
7,Classification,16,option_C,39.172
7,Classification,2,option_E,67.061
7,Classification,28,option_B,50.574
7,Classification,32,option_C,73.963
7,Classification,34,option_E,68.07
7,Classification,38,option_B,50.443
7,Classification,4,option_B,48.299
7,Classification,43,option_B,47.307
7,Classification,53,option_A,40.795
7,Classification,55,option_A,36.23
7,Classification,62,option_D,62.088
7,Classification,73,option_B,27.93
7,Classification,76,option_B,71.758
7,Classification,79,option_C,26.663
7,Classification,80,option_B,44.694
7,Classification,83,option_B,48.239
7,Classification,89,option_A,40.575
7,Classification,9,option_D,67.285
7,Classification,90,option_B,59.752
7,Classification,92,option_D,44.912
7,Classification,96,option_D,68.59
7,Classification,97,option_B,28.964
8,Classification,10,option_D,127.345
8,Classification,110,option_D,70.009
8,Classification,111,option_E,136.605
8,Classification,114,option_C,181.777
8,Classification,121,option_A,93.085
8,Classification,136,option_C,148.728
8,Classification,143,option_C,61.415
8,Classification,2,option_D,101.15
8,Classification,27,option_D,104.128
8,Classification,31,option_A,112.501
8,Classification,32,option_C,108.601
8,Classification,33,option_D,68.393
8,Classification,34,option_D,164.482
8,Classification,36,option_E,98.799
8,Classification,38,option_E,121.467
8,Classification,39,option_D,127.509
8,Classification,43,option_B,108.316
8,Classification,53,option_A,283.441
8,Classification,62,option_A,63.91
8,Classification,76,option_D,118.459
8,Classification,77,option_E,60.032
8,Classification,79,option_A,289.392
8,Classification,83,option_A,143.427
8,Classification,89,option_A,144.851
8,Classification,9,option_D,136.633
8,Classification,90,option_E,104.798
8,Classification,92,option_D,106.464
8,Classification,95,option_D,61.851
9,Classification,10,option_B,150.043
9,Classification,110,option_D,53.008
9,Classification,111,option_A,75.2
9,Classification,114,option_C,66.688
9,Classification,121,option_A,91.378
9,Classification,136,option_C,75.843
9,Classification,143,option_C,93.957
9,Classification,2,option_D,115.76
9,Classification,27,option_C,75.915
9,Classification,31,option_D,78.261
9,Classification,32,option_C,86.075
9,Classification,33,option_D,77.424
9,Classification,34,option_E,102.582
9,Classification,36,option_D,114.059
9,Classification,38,option_E,115.045
9,Classification,39,option_E,87.565
9,Classification,43,option_D,61.495
9,Classification,53,option_C,77.245
9,Classification,62,option_D,42.861
9,Classification,76,option_A,74.614
9,Classification,77,option_D,89.191
9,Classification,79,option_A,90.42
9,Classification,83,option_B,70.287
9,Classification,89,option_D,77.379
9,Classification,9,option_B,210.876
9,Classification,90,option_D,75.721
9,Classification,92,option_C,95.739
9,Classification,95,option_D,114.218
4,Consistency,92,option_D,11.535
4,Consistency,83,option_D,14.734
7,Consistency,79,option_C,52.946
7,Consistency,136,option_B,34.631
5,Consistency,34,option_D,46.527
5,Consistency,32,option_C,23.16
1,Consistency,38,option_D,13.331
1,Consistency,62,option_B,13.02
6,Consistency,32,option_C,32.579
6,Consistency,136,option_C,40.879
2,Consistency,9,option_C,38.463
2,Consistency,38,option_E,12.652
9,Consistency,9,option_B,35.119
9,Consistency,114,option_C,81.604
8,Consistency,79,option_A,64.914
8,Consistency,53,option_A,50.18
3,Consistency,34,option_D,20.154
3,Consistency,2,option_D,39.759
